Year,Tournament
1962,U.S. Open
1962,Seattle World's Fair Open Invitational
1962,Portland Open Invitational
1963,Palm Springs Golf Classic
1963,Masters Tournament
1963,Tournament of Champions
1963,PGA Championship
1963,Sahara Invitational
1964,Phoenix Open
1964,Tournament of Champions
1964,Whitemarsh Open Invitational
1964,Portland Open Invitational
1965,Masters Tournament
1965,Memphis Open Invitational
1965,Thunderbird Classic
1965,Philadelphia Golf Classic
1965,Portland Open Invitational
1966,Masters Tournament
1966,The Open Championship
1966,Sahara Invitational
1967,Bing Crosby National Pro-Am
1967,U.S. Open
1967,Western Open
1967,Westchester Classic
1967,Sahara Invitational
1968,Western Open
1968,American Golf Classic
1969,Andy Williams-San Diego Open Invitational
1969,Sahara Invitational
1969,Kaiser International Open Invitational
1970,Byron Nelson Golf Classic
1970,The Open Championship
1970,"National Four-Ball Team Championship (with  Arnold Palmer)"
1971,PGA Championship
1971,Tournament of Champions
1971,Byron Nelson Golf Classic
1971,"National Team Championship
(with  Arnold Palmer)"
1971,Walt Disney World Golf Classic
1972,Bing Crosby National Pro-Am
1972,Doral-Eastern Open
1972,Masters Tournament
1972,U.S. Open
1972,Westchester Classic
1972,U.S. Professional Match Play Championship
1972,Walt Disney World Golf Classic
1973,Bing Crosby National Pro-Am
1973,Greater New Orleans Open
1973,Tournament of Champions
1973,Atlanta Classic
1973,PGA Championship
1973,Ohio Kings Island Open
1973,Walt Disney World Golf Classic
1974,Hawaiian Open
1974,Tournament Players Championship
1975,Doral-Eastern Open
1975,Sea Pines Heritage Classic
1975,Masters Tournament
1975,PGA Championship
1975,World Open Golf Championship
1976,Tournament Players Championship
1976,World Series of Golf
1977,Jackie Gleason-Inverrary Classic
1977,MONY Tournament of Champions
1977,Memorial Tournament
1978,Jackie Gleason-Inverrary Classic
1978,Tournament Players Championship
1978,The Open Championship
1978,IVB-Philadelphia Golf Classic
1980,U.S. Open
1980,PGA Championship
1982,Colonial National Invitation
1984,Memorial Tournament
1986,Masters Tournament
