Year,Country,Champion,Course,Location,Total score
1860,Scotland,Willie Park Sr.,Prestwick Golf Club,"Prestwick, Scotland",174
1861,Scotland,Tom Morris Sr.,Prestwick Golf Club,"Prestwick, Scotland",163
1862,Scotland,Tom Morris Sr.,Prestwick Golf Club,"Prestwick, Scotland",163
1863,Scotland,Willie Park Sr.,Prestwick Golf Club,"Prestwick, Scotland",168
1864,Scotland,Tom Morris Sr.,Prestwick Golf Club,"Prestwick, Scotland",167
1865,Scotland,Andrew Strath,Prestwick Golf Club,"Prestwick, Scotland",162
1866,Scotland,Willie Park Sr.,Prestwick Golf Club,"Prestwick, Scotland",169
1867,Scotland,Tom Morris Sr.,Prestwick Golf Club,"Prestwick, Scotland",170
1868,Scotland,Tom Morris Jr.,Prestwick Golf Club,"Prestwick, Scotland",154
1869,Scotland,Tom Morris Jr.,Prestwick Golf Club,"Prestwick, Scotland",157
1870,Scotland,Tom Morris Jr.,Prestwick Golf Club,"Prestwick, Scotland",149
1872,Scotland,Tom Morris Jr.,Prestwick Golf Club,"Prestwick, Scotland",166
1873,Scotland,Tom Kidd,St Andrews,"St Andrews, Scotland",179
1874,Scotland,Mungo Park,Musselburgh Links,"Musselburgh, Scotland",159
1875,Scotland,Willie Park Sr.,Prestwick Golf Club,"Prestwick, Scotland",166
1876,Scotland,Bob Martin,St Andrews,"St Andrews, Scotland",176
1877,Scotland,Jamie Anderson,Musselburgh Links,"Musselburgh, Scotland",160
1878,Scotland,Jamie Anderson,Prestwick Golf Club,"Prestwick, Scotland",157
1879,Scotland,Jamie Anderson,St Andrews,"St Andrews, Scotland",169
1880,Scotland,Bob Ferguson,Musselburgh Links,"Musselburgh, Scotland",162
1881,Scotland,Bob Ferguson,Prestwick Golf Club,"Prestwick, Scotland",170
1882,Scotland,Bob Ferguson,St Andrews,"St Andrews, Scotland",171
1883,Scotland,Willie Fernie,Musselburgh Links,"Musselburgh, Scotland",159
1884,Scotland,Jack Simpson,Prestwick Golf Club,"Prestwick, Scotland",160
1885,Scotland,Bob Martin,St Andrews,"St Andrews, Scotland",171
1886,Scotland,David Brown,Musselburgh Links,"Musselburgh, Scotland",157
1887,Scotland,Willie Park Jr.,Prestwick Golf Club,"Prestwick, Scotland",161
1888,Scotland,Jack Burns,St Andrews,"St Andrews, Scotland",171
1889,Scotland,Willie Park Jr.,Musselburgh Links,"Musselburgh, Scotland",155
1890,England,John Ball,Prestwick Golf Club,"Prestwick, Scotland",162
1891,Scotland,Hugh Kirkaldy,St Andrews,"St Andrews, Scotland",166
1892,England,Harold Hilton,Muirfield,"Gullane, Scotland",305
1893,Scotland,William Auchterlonie,Prestwick Golf Club,"Prestwick, Scotland",322
1894,England,John Henry Taylor,Royal St George's,"Sandwich, England",326
1895,England,John Henry Taylor,St Andrews,"St Andrews, Scotland",332
1896,Jersey,Harry Vardon,Muirfield,"Gullane, Scotland",316
1897,England,Harold Hilton,Royal Liverpool,"Hoylake, England",314
1898,Jersey,Harry Vardon,Prestwick Golf Club,"Prestwick, Scotland",307
1899,Jersey,Harry Vardon,Royal St George's,"Sandwich, England",310
1900,England,John Henry Taylor,St Andrews,"St Andrews, Scotland",309
1901,Scotland,James Braid,Muirfield,"Gullane, Scotland",309
1902,Scotland,Sandy Herd,Royal Liverpool,"Hoylake, England",307
1903,Jersey,Harry Vardon,Prestwick Golf Club,"Prestwick, Scotland",300
1904,Scotland,Jack White,Royal St George's,"Sandwich, England",296
1905,Scotland,James Braid,St Andrews,"St Andrews, Scotland",318
1906,Scotland,James Braid,Muirfield,"Gullane, Scotland",300
1907,France,Arnaud Massy,Royal Liverpool,"Hoylake, England",312
1908,Scotland,James Braid,Prestwick Golf Club,"Prestwick, Scotland",291
1909,England,John Henry Taylor,Royal Cinque Ports,"Deal, England",291
1910,Scotland,James Braid,St Andrews,"St Andrews, Scotland",299
1911,Jersey,Harry Vardon,Royal St George's,"Sandwich, England",303
1912,Jersey,Ted Ray,Muirfield,"Gullane, Scotland",295
1913,England,John Henry Taylor,Royal Liverpool,"Hoylake, England",304
1914,Jersey,Harry Vardon,Prestwick Golf Club,"Prestwick, Scotland",306
1920,Scotland,George Duncan,Royal Cinque Ports,"Deal, England",303
1921,United States,Jock Hutchison,St Andrews,"St Andrews, Scotland",296
1922,United States,Walter Hagen,Royal St George's,"Sandwich, England",300
1923,England,Arthur Havers,Troon,"Troon, Scotland",295
1924,United States,Walter Hagen,Royal Liverpool,"Hoylake, England",301
