RANK,MOVEMENT,PLAYER_ID,PLAYER,MONEY
1,0,08793,Tiger Woods,120999166
2,0,28237,Rory McIlroy,90448748
3,0,10809,Jim Furyk,71507269
4,0,06567,Vijay Singh,71281216
5,0,46046,Scottie Scheffler,70713920
6,0,24502,Adam Scott,66182831
7,0,22405,Justin Rose,64702542
8,0,34046,Jordan Spieth,62701370
9,0,28089,Jason Day,60836196
10,0,23108,Matt Kuchar,59309347
11,0,33448,Justin Thomas,58725364
12,1,48081,Xander Schauffele,54777483
13,-1,32839,Hideki Matsuyama,51801807
14,0,32102,Rickie Fowler,50113648
15,0,06522,Ernie Els,49385600
16,0,24024,Zach Johnson,48988783
17,0,35450,Patrick Cantlay,47554215
18,0,29221,Webb Simpson,45719028
19,0,01706,Davis Love III,44959243
20,0,06527,Steve Stricker,44936354
21,0,20229,Stewart Cink,43778583
22,0,33141,Keegan Bradley,43675777
23,0,29725,Tony Finau,42260064
24,0,02206,David Toms,41901709
25,0,27649,Brandt Snedeker,40774586
26,0,29420,Billy Horschel,39221692
27,0,27644,Brian Harman,37768259
28,0,23983,Luke Donald,37686580
29,0,25900,Lucas Glover,36169282
30,0,23621,Rory Sabbatini,36119041
31,0,12716,Charley Hoffman,34968610
32,1,50525,Collin Morikawa,34506612
33,-1,26596,Ryan Moore,34320615
34,1,31323,Gary Woodland,33917345
35,-1,10860,Justin Leonard,33884793
36,0,23320,Ryan Palmer,33657182
37,0,24357,K.J. Choi,32803596
38,0,01945,Kenny Perry,32123130
39,3,34098,Russell Henley,31634190
40,-1,30926,Chris Kirk,31489942
41,-1,20157,Retief Goosen,31301518
42,-1,24924,Bill Haas,31092268
43,1,34099,Harris English,30802439
44,-1,24781,Hunter Mahan,30786458
45,0,22046,Geoff Ogilvy,30626566
46,0,20098,Stuart Appleby,29828521
47,0,46717,Viktor Hovland,29369005
48,0,27095,Nick Watney,29331602
49,0,29478,Kevin Kisner,29197516
50,1,39971,Sungjae Im,29127633
51,-1,08075,Jerry Kelly,29111709
52,0,25686,Jason Dufner,28307325
53,0,10423,Mike Weir,28043420
54,0,25632,Jimmy Walker,27710805
55,0,02239,Scott Verplank,27500225
56,0,10885,Robert Allenby,27492076
57,0,39977,Max Homa,27237636
58,0,12510,Chad Campbell,26817362
59,0,27214,Kevin Streelman,26687879
60,0,20766,Padraig Harrington,26323389
61,0,27141,J.B. Holmes,25831792
62,0,37455,Si Woo Kim,25671505
63,0,51766,Wyndham Clark,25591840
64,0,40098,Matt Fitzpatrick,25535458
65,0,47504,Sam Burns,25514993
66,0,24140,Sean O'Hair,25383494
67,0,19846,Brian Gay,24242019
68,0,01161,Mark Calcavecchia,24216436
69,0,40026,Daniel Berger,24136715
70,0,33399,Adam Hadwin,24050014
71,0,30911,Tommy Fleetwood,24030181
72,0,23135,Tim Clark,23942321
73,0,22371,Aaron Baddeley,23841875
74,0,25818,Scott Piercy,23530688
75,0,27770,Camilo Villegas,22985415
76,0,01226,Fred Couples,22860334
77,4,33204,Shane Lowry,22834397
78,-1,25345,Carl Pettersson,22688674
79,-1,34363,Tyrrell Hatton,22682111
80,-1,06251,Chris DiMarco,22656443
81,-1,27936,Martin Laird,22487329
82,0,39997,Corey Conners,22196204
83,0,31646,Emiliano Grillo,22096103
84,0,26476,Chez Reavie,21959317
85,0,23541,Ben Crane,21738270
86,0,20645,John Senden,21654648
87,0,01320,Bob Estes,21628540
88,0,01677,Tom Lehman,21509830
89,0,23623,Bo Van Pelt,21402289
90,0,01381,Fred Funk,21310437
91,0,01968,Nick Price,20576104
92,0,24925,Jonathan Byrd,20374647
93,0,35532,Tom Hoge,20365445
94,0,01766,Billy Mayfair,20303642
95,0,06004,Stephen Ames,19718160
96,0,12782,Tim Herron,19382388
97,0,23325,Vaughn Taylor,19379410
98,0,01724,Jeff Maggert,19364566
99,0,30927,Brendon Todd,19126342
100,0,09011,David Duval,18983931
101,0,30692,Scott Stallings,18706161
102,0,01527,Scott Hoch,18530156
103,0,51634,Sahith Theegala,18491585
104,0,22913,John Rollins,18446947
105,3,33948,Byeong Hun An,18435805
106,-1,25198,Francesco Molinari,18315599
107,-1,07457,Steve Flesch,18299945
108,-1,21731,Freddie Jacobson,18191698
109,0,47483,Will Zalatoris,18172887
110,0,02104,Jeff Sluman,18165266
111,0,01329,Brad Faxon,17769249
112,0,25493,Nick Taylor,17676253
113,0,49771,J.T. Poston,17471413
114,2,49960,Sepp Straka,17435926
115,-1,33122,Russell Knox,17415691
116,-1,32366,Kevin Chappell,17378384
117,2,35506,Mackenzie Hughes,17176762
118,-1,27129,Luke List,17126809
119,-1,30110,Kyle Stanley,17082222
120,0,23353,J.J. Henry,16925357
121,0,01797,Rocco Mediate,16824617
122,0,47993,Denny McCarthy,16613938
123,0,07867,Woody Austin,16580132
124,0,27064,Jhonattan Vegas,16516689
125,0,24507,Jason Bohn,16062113
126,0,01577,Lee Janzen,16040639
127,0,20572,Rod Pampling,16039993
128,0,01928,Corey Pavin,16021370
129,0,22293,Heath Slocum,15948701
130,0,02223,Bob Tway,15785815
131,0,57366,Cameron Young,15762125
132,0,06595,Kevin Sutherland,15658171
133,0,01313,Steve Elkington,15505418
134,4,27349,Alex Noren,15454441
135,-1,21878,Mark Wilson,15343537
136,-1,12660,Jesper Parnevik,15321627
137,0,34256,Andrew Putnam,15296009
138,-2,02170,Hal Sutton,15267685
139,0,26289,Boo Weekley,15167517
140,0,02010,Loren Roberts,15154767
141,0,01707,Steve Lowery,15128611
142,0,24358,Robert Garrigus,14986941
143,0,01553,John Huston,14967146
144,2,36699,Patrick Rodgers,14954438
145,-1,01941,Tom Pernice Jr.,14950594
146,-1,32640,Troy Merritt,14943083
147,0,55182,Tom Kim,14775474
148,0,20848,Ángel Cabrera,14583622
149,0,01876,Greg Norman,14484458
150,0,01042,Paul Azinger,14467496
151,0,39546,Keith Mitchell,14460641
152,0,01457,Jay Haas,14456502
153,0,45157,Cam Davis,14362123
154,0,01887,Mark O'Meara,14325371
155,0,06621,Joe Durant,14181693
156,0,02214,Kirk Triplett,14096656
157,0,12680,Shigeki Maruyama,13809170
158,0,22621,Ben Curtis,13779910
159,0,21753,Brian Davis,13382405
160,0,27963,Chris Stroud,13368857
161,0,34431,Robert Streb,13260109
162,0,20498,Briny Baird,13251178
163,0,20472,Alex Cejka,12940761
164,0,28252,Seamus Power,12899960
165,0,06643,Paul Goydos,12816967
166,0,32448,James Hahn,12790975
167,0,28475,Jeff Overton,12790635
168,0,01219,John Cook,12685199
169,0,32150,Michael Thompson,12650720
170,0,10585,Scott McCarron,12649527
171,0,06575,Dudley Hart,12635726
172,0,22378,Trevor Immelman,12628762
173,0,26951,Johnson Wagner,12591106
174,0,01024,Billy Andrade,12494805
175,0,06373,José María Olazábal,12421145
176,1,32757,Patton Kizzire,12352686
177,-1,34563,Chesson Hadley,12272563
178,0,24490,George McNeill,12232901
179,0,01948,Tim Petrovic,12193429
180,0,34076,Joel Dahmen,12156313
181,0,31560,Brian Stuard,12128718
182,0,32791,K.H. Lee,12086946
183,0,25240,D.A. Points,11986279
184,0,02246,Duffy Waldorf,11932543
185,0,49964,Aaron Wise,11856231
186,0,11032,Frank Lickliter II,11841515
187,0,47347,Adam Schenk,11628636
188,0,23638,Brendon de Jonge,11568484
189,0,20127,Chris Riley,11525199
190,1,39324,J.J. Spaun,11508638
191,-1,31202,William McGirt,11492009
192,0,21805,Harrison Frazar,11456390
193,0,34409,David Lingmerth,11446261
194,0,52955,Ludvig Åberg,11294517
195,3,48117,Kurt Kitayama,11217596
196,-1,02101,Joey Sindelar,11196462
197,-1,29908,C.T. Pan,11190059
198,-1,34174,John Huh,11160135
199,0,23800,Bryce Molder,11142502
200,0,23788,D.J. Trahan,11134640
201,0,35461,Beau Hossler,11123404
202,0,02256,Tom Watson,11081140
203,0,07749,Brett Quigley,11058693
204,0,01633,Tom Kite,11041042
205,0,20593,Greg Chalmers,10882309
206,0,29479,Scott Brown,10875266
207,0,20104,Ken Duke,10836211
208,0,01666,Bernhard Langer,10759526
209,0,20094,Jonathan Kaye,10597848
210,0,27974,Sung Kang,10514382
211,0,27895,Jonas Blixt,10500435
212,0,34466,Peter Malnati,10338344
213,0,33413,Ben Martin,10289309
214,0,01249,John Daly,10270681
215,0,28307,Matt Every,10238493
216,0,21949,Joe Ogilvie,10149923
217,0,26758,David Hearn,10090312
218,0,20160,Charlie Wi,10079659
219,1,36801,Mark Hubbard,10022098
220,-1,02133,Craig Stadler,10021897
221,0,12652,Cameron Beckman,9870919
222,0,45522,Christiaan Bezuidenhout,9774935
223,0,26679,Kevin Stadler,9759661
224,0,25562,Andres Romero,9700831
225,0,23614,Rich Beem,9656392
226,0,20634,Peter Lonard,9501202
227,0,46442,Maverick McNealy,9500464
228,0,01035,Tommy Armour III,9458248
229,0,01132,Mark Brooks,9455441
230,0,12823,Carlos Franco,9437758
231,0,27120,Troy Matteson,9392206
232,0,34021,Bud Cauley,9257970
233,0,08931,Glen Day,9241922
234,0,21350,Ryuji Imada,9229743
235,0,01378,David Frost,9195639
236,0,27933,John Merrick,9156550
237,0,49947,Taylor Moore,9154361
238,0,06515,Shaun Micheel,9139260
239,0,06573,Brandt Jobe,9000273
240,0,24846,Ricky Barnes,8995860
241,0,12602,Dean Wilson,8924744
242,0,37275,Sam Ryder,8889927
243,0,24663,Y.E. Yang,8768257
244,0,40006,Erik van Rooyen,8759704
245,1,19825,Darren Clarke,8733277
246,-1,01388,Robert Gamez,8712304
247,0,01361,Dan Forsman,8687983
248,0,31557,Jim Herman,8621528
249,0,36799,Stephan Jaeger,8598816
250,0,01139,Olin Browne,8523672
251,0,01723,Andrew Magee,8512753
252,0,01920,Craig Parry,8481456
253,0,32333,Kevin Tway,8443033
254,0,08537,J.P. Hayes,8391404
255,0,52372,Cameron Champ,8354664
256,0,47995,Davis Riley,8233937
257,4,40250,Taylor Pendrith,8210219
258,-1,28775,Nate Lashley,8201022
259,-1,32139,Danny Willett,8153686
260,6,47591,Eric Cole,8101083
261,-2,01619,Skip Kendall,8087631
262,-2,29535,Brice Garnett,8060536
263,-1,19803,Ryan Armour,8051238
264,-1,24912,Will MacKenzie,8050755
265,-1,01926,Steve Pate,8039988
266,-1,40115,Adam Svensson,8016481
267,0,20850,Daniel Chopra,8007885
268,0,29289,S.Y. Noh,8001456
269,0,01823,Larry Mize,7947092
270,0,01569,Peter Jacobsen,7799810
271,0,35310,Lanto Griffin,7686171
272,0,20628,Arron Oberholser,7665222
273,0,35449,Adam Long,7611884
274,0,02159,Curtis Strange,7599951
275,0,40058,Zac Blair,7489570
276,0,56630,Akshay Bhatia,7448410
277,0,21959,Ted Purdy,7431369
278,0,12645,Brent Geiberger,7374382
279,0,08375,Paul Stankowski,7357259
280,0,52215,Robert MacIntyre,7228395
281,0,01235,Ben Crenshaw,7139756
282,0,54628,Lee Hodges,7101562
283,0,28679,Fabián Gómez,7084309
284,0,23322,Brett Wetterich,7008473
285,0,45609,Tyler Duncan,6956793
286,0,01418,Bill Glasson,6912619
287,0,29970,Dylan Frittelli,6897787
288,0,01943,Chris Perry,6866671
289,0,01761,Len Mattiace,6863198
290,0,23718,Nathan Green,6856057
291,0,25274,Steven Bowditch,6839023
292,4,48887,Matt Wallace,6822050
293,-1,02099,Scott Simpson,6778273
294,-1,33410,Andrew Landry,6770554
295,-1,47128,Richy Werenski,6765035
296,-1,28259,Sangmoon Bae,6761098
297,0,46414,Aaron Rai,6701457
298,0,46435,Austin Cook,6642009
299,1,39975,Michael Kim,6569965
300,-1,01157,Tom Byrum,6554699
