RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED
1,0,06567,Vijay Singh,12.97,777.91,-486.36,707.57
2,0,08793,Tiger Woods,11.90,476.02,-509.58,402.52
3,0,06522,Ernie Els,11.12,589.26,-431.26,574.68
4,0,20157,Retief Goosen,7.74,410.03,-294.07,354.65
5,0,01810,Phil Mickelson,7.22,346.73,-261.97,413.46
6,0,20766,Padraig Harrington,5.78,289.03,-238.13,268.21
7,0,01706,Davis Love III,5.61,263.75,-307.61,202.58
8,0,10423,Mike Weir,5.49,241.35,-260.90,201.62
9,0,21209,Sergio Garcia,5.46,262.30,-166.71,285.37
10,0,20229,Stewart Cink,4.81,278.80,-130.90,285.04
11,0,24502,Adam Scott,4.69,244.01,-178.78,243.33
12,0,19958,Miguel Angel Jiménez,4.40,224.50,-82.56,231.07
13,0,20098,Stuart Appleby,4.29,244.81,-206.17,220.41
14,0,19825,Darren Clarke,4.26,247.32,-193.77,202.45
15,0,06251,Chris DiMarco,3.96,213.74,-173.42,217.18
16,0,01473,Todd Hamilton,3.77,192.03,-79.94,204.94
17,3,06004,Stephen Ames,3.71,200.36,-90.93,219.84
18,1,12510,Chad Campbell,3.70,207.36,-187.39,156.48
19,-1,01945,Kenny Perry,3.68,180.20,-211.11,122.23
20,1,02206,David Toms,3.57,178.72,-220.75,129.85
