Year,Tournament
1996,Las Vegas Invitational
1996,Walt Disney World Golf Classic
1997,Mercedes Championships
1997,The Masters
1997,GTE Byron Nelson Golf Classic 
1997,Motorola Western Open
1998,BellSouth Classic
1999,Buick Invitational
1999,Memorial Tournament
1999,Motorola Western Open
1999,PGA Championship
1999,WGC-NEC Invitational
1999,National Car Rental Golf Classic Disney
1999,Tour Championship
1999,WGC-American Express Championship
2000,Mercedes Championships
2000,AT&T Pebble Beach National Pro-Am
2000,Bay Hill Invitational
2000,Memorial Tournament
2000,US Open
2000,The Open
2000,PGA Championship
2000,WGC-NEC Invitational
2000,Bell Canadian Open
2001,Bay Hill Invitational
2001,The Players Championship
2001,The Masters
2001,Memorial Tournament
2001,WGC-NEC Invitational
2002,Bay Hill Invitational
2002,The Masters
2002,US Open
2002,Buick Open
2002,WGC-American Express Championship
2003,Buick Invitational
2003,WGC-Accenture Match Play Championship
2003,Bay Hill Invitational
2003,100th Western Open
2003,WGC-American Express Championship
2004,WGC-Accenture Match Play Championship
2005,Buick Invitational
2005,Ford Championship at Doral
2005,The Masters
2005,The Open
2005,WGC-NEC Invitational
2005,WGC-American Express Championship
2006,Buick Invitational
2006,Ford Championship at Doral
2006,The Open
2006,Buick Open
2006,PGA Championship
2006,Bridgestone Invitational
2006,Deutsche Bank Championship
2006,WGC-American Express Championship
2007,Buick Invitational
2007,WGC-CA Championship
2007,Wachovia Championship
2007,WGC-Bridgestone Invitational
2007,PGA Championship
2007,BMW Championship
2007,Tour Championship
2008,Buick Invitational
2008,WGC-Accenture Match Play Championship
2008,Arnold Palmer Invitational
2008,US Open
2009,Arnold Palmer Invitational
2009,The Memorial Tournament
2009,AT&T National
2009,Buick Open
2009,Bridgestone Invitational
2009,BMW Championship
2012,Arnold Palmer Invitational
2012,Memorial Tournament
2012,AT&T National
2013,Farmers Insurance Open
2013,WGC-Cadillac Championship
2013,Arnold Palmer Invitational
2013,The Players Championship
2013,Bridgestone Invitational
2018,Tour Championship
2019,The Masters
2019,Zozo Championship
